elapsed_dec,sample_id
1.37913,1730
3.1082,1923
2.48593,1493
1.69797,1620
1.8497,408
1.25209,1489
2.25122,1023
1.4266,724
1.26232,727
0.796354,565
1.83571,1099
2.25177,170
0.875414,2021
2.8281,1227
1.56385,1547
1.34905,360
1.55499,838
3.10853,852
2.074,1178
1.6395,1801
1.05699,540
1.544,229
1.78571,1937
0.898806,1648
1.124,390
2.15499,1956
1.51836,1650
1.38401,531
2.14241,1038
1.34064,667
1.20975,615
0.885423,235
1.98125,1279
1.59802,1788
1.70674,1298
1.36585,1687
1.34035,522
2.32928,1452
3.01496,777
2.21771,1218
1.16194,461
2.6174,1093
3.16416,1845
1.62751,967
1.9015,1237
1.51811,496
1.07341,538
1.31909,317
2.01537,332
0.996937,340
1.49302,1738
0.751576,1372
2.638,414
1.70559,787
0.528334,30
1.53861,919
2.74757,211
3.59437,1550
0.803105,909
2.22513,188
0.729946,1435
1.13508,1274
1.41855,1961
1.22221,903
2.06393,991
1.24263,1067
1.2065,904
2.0094,318
1.38999,1066
2.16689,339
0.726429,247
0.933884,630
2.25851,1166
0.649475,1810
0.881898,1300
1.46941,20
1.22059,1571
0.482416,554
2.74649,551
2.08368,1860
1.84894,1459
2.20462,1145
1.41042,154
1.02131,1084
1.90037,923
1.48302,1612
1.47391,1197
1.43568,1094
1.21956,859
0.856807,1222
1.70533,933
1.73642,1898
2.22879,1902
1.67364,8
1.66552,1791
1.62899,1171
1.7035,1460
1.2741,561
1.67885,260
1.02692,964
1.59629,6
1.90211,186
0.886898,2024
1.21066,1042
1.24771,366
1.26813,1253
1.96665,1970
0.817758,220
1.054,1874
1.70544,829
2.20282,920
1.66282,183
1.62109,963
1.57444,388
1.26544,122
2.37831,1016
1.69961,784
1.7071,861
2.4117,1475
1.55976,465
2.16446,858
1.25691,112
1.11921,1586
1.52488,842
1.29682,1087
1.15426,917
0.82031,974
2.06811,833
1.19475,63
1.6883,1162
1.45324,901
1.70802,464
1.87474,1717
1.23836,1424
1.56154,335
1.2107,1762
2.3253,1313
1.03448,1600
1.24261,965
1.19776,86
1.36186,1074
1.41841,1130
0.764456,250
3.20361,118
1.75454,782
2.29048,358
1.84104,1808
1.11792,1286
0.740082,896
1.53584,689
1.59307,1021
2.82505,1842
2.41051,420
2.35727,1368
1.50578,539
2.21757,968
1.50685,1133
1.35263,13
1.8411,1019
2.29402,1759
1.03492,690
4.92808,1676
2.46852,770
0.687684,1906
1.13411,1155
1.91388,393
1.24641,707
2.30998,1629
2.26796,1643
1.92311,962
2.01813,1958
1.00166,374
2.31026,1316
1.22499,1182
1.41046,503
2.28902,764
1.53362,272
1.46051,828
1.97756,798
1.53972,1022
0.738307,406
1.39389,27
2.58967,1179
1.53391,1165
1.39001,1203
1.61719,344
3.58993,1976
