elapsed_dec,sample_id
4.2126,1612
4.89792,1197
4.3322,1094
3.65481,859
2.61827,1222
4.70202,933
4.70099,1898
6.46339,1902
4.79531,8
4.6322,1791
5.00513,1171
4.69478,1460
3.86958,561
4.7446,260
3.34086,964
4.53671,6
5.3684,186
3.1025,2024
3.5098,1042
3.56674,366
3.83986,1253
5.84889,1970
2.96659,220
3.67019,1874
5.08438,829
6.4782,920
4.68447,183
4.79313,963
4.63374,388
3.86159,122
6.57721,1016
5.2493,784
5.09214,861
6.86657,1475
4.58569,465
6.05214,858
3.76391,112
3.1587,1586
4.89228,842
3.88693,1087
3.59843,917
3.11236,974
5.901,833
3.5587,63
4.81625,1162
4.13913,901
4.80259,464
5.30816,1717
4.38818,1424
4.56202,335
3.83025,1762
7.49041,1313
3.26659,1600
4.07759,965
3.4075,86
4.45973,1074
4.35533,1130
2.46791,250
9.13815,118
5.02861,782
6.69224,358
5.30076,1808
3.36934,1286
2.69981,896
4.33791,689
4.7177,1021
8.20688,1842
7.14146,420
6.35426,1368
4.31954,539
6.20434,968
4.28117,1133
4.03713,13
5.2485,1019
6.31388,1759
3.15545,690
13.6162,1676
7.24377,770
2.44358,1906
3.33128,1155
5.39577,393
3.69037,707
6.41123,1629
6.28731,1643
5.59368,962
5.98839,1958
3.79195,374
6.76427,1316
3.7756,1182
4.03702,503
6.48961,764
4.7322,272
4.28691,828
5.95976,798
4.76042,1022
2.55576,406
4.26093,27
7.10165,1179
4.90982,1165
3.85457,1203
4.6264,344
9.92958,1976
5.42589,1761
6.99801,1936
6.83218,1786
5.82142,736
9.37389,1670
5.431,774
8.38452,1174
6.37752,1711
3.37751,128
2.82473,281
3.17214,533
1.98961,910
3.28654,1856
5.56008,1846
6.61122,1541
3.90672,387
5.60284,1379
2.80224,84
3.34976,386
3.37428,1900
2.5731,1147
5.55108,914
6.79237,1924
2.53663,148
3.51204,162
5.14659,197
6.01348,368
3.18672,54
5.04011,785
4.57868,104
6.28047,817
3.55678,36
5.14635,1769
4.37888,1478
5.00376,1619
6.8104,1152
5.88941,243
6.00813,518
6.74619,1037
5.62094,1192
4.10337,1922
4.30328,1511
4.83698,984
5.4507,1532
5.27054,429
3.44344,1346
6.24783,1895
7.59379,1700
6.18922,103
5.70428,470
6.75662,1683
3.90589,471
4.07716,1207
2.85831,715
4.58301,347
11.822,418
4.28034,142
9.05948,1076
3.92819,1397
3.37863,1481
3.63713,1781
5.1534,1534
5.17315,1528
5.51643,894
6.68653,1544
5.5041,649
4.48582,1565
3.91094,1482
4.81225,1872
4.84084,1611
4.13775,1609
4.18111,1063
2.22197,749
6.71005,1930
4.91584,81
4.59425,1140
4.96562,466
6.4174,1876
2.58898,1124
5.49215,1108
2.64707,1121
4.4549,762
6.4393,489
4.27362,1777
5.52154,1317
3.69606,225
2.48332,64
5.66323,981
5.14931,1251
5.81825,641
6.0516,1516
4.56885,1881
5.37691,1603
4.61616,1673
3.2167,1649
5.69378,1159
4.23074,89
3.77614,629
4.42616,1280
4.90077,1367
6.18328,274
7.15462,1486
5.18532,1216
4.57427,1535
4.37438,1740
7.8989,804
3.3362,203
4.23856,1559
4.01457,575
5.44766,1467
5.9509,442
3.9085,1634
4.89526,239
4.55821,955
2.97985,1723
7.37757,1389
2.0801,29
5.46457,1991
6.88707,395
10.9702,1451
5.43472,1004
3.88375,1556
2.0394,550
7.12748,993
5.10683,1276
3.49742,1963
2.35976,1795
5.81432,116
6.06776,1666
7.09191,1698
5.68989,1664
2.63396,584
5.68394,1878
3.90152,1931
3.82751,1803
6.97746,1242
4.2214,1579
2.35253,970
5.53214,620
3.1986,237
6.3413,287
3.67493,1045
3.83495,1596
4.87496,419
2.8321,206
6.58841,2018
11.0051,1243
3.94158,1355
5.21523,725
7.07637,1538
3.09444,953
2.80721,72
3.52649,1212
2.89796,445
2.25393,1735
5.58335,1340
3.55735,1015
6.18504,853
5.0194,1627
6.90846,768
4.54541,1941
3.40044,1156
3.02931,426
2.95896,709
4.89737,1591
2.7334,1724
5.55659,1651
4.35324,482
4.95737,1487
13.8063,1826
3.63472,1315
5.06143,1719
4.58348,708
4.39584,663
3.8885,1590
1.47924,22
8.6421,1033
3.27111,696
6.50578,1219
4.10706,609
4.86994,1431
9.3496,1377
5.67886,1678
4.43199,1714
6.93292,1044
2.09342,322
3.72137,1048
5.89556,198
2.944,657
3.65225,150
5.10865,1309
9.15868,1841
4.39501,284
4.23302,1209
3.43215,1831
5.61491,421
5.43332,978
3.26376,1496
4.48832,1996
2.81535,207
8.83603,808
6.19747,1319
6.82259,1917
4.56445,451
5.47708,1817
4.86884,94
2.84337,1306
5.02227,452
3.32103,1414
6.37585,1398
6.17691,1508
5.14618,454
4.31632,9
7.76133,1336
5.4282,349
6.9477,1998
4.34014,613
7.57934,893
7.56167,113
4.51442,1515
3.15424,96
3.21447,1782
4.58265,2012
4.86569,834
5.33062,1092
4.19069,1703
4.24768,567
4.625,1506
5.01895,1767
6.39268,270
4.04322,877
8.08473,1239
5.41933,1744
2.82331,997
5.04073,498
4.89346,18
6.59711,1161
2.90956,542
4.62012,1985
3.23587,131
4.18797,98
5.54938,95
8.20174,1668
3.2899,382
2.0568,1747
8.20115,1914
4.21714,306
4.08237,1904
4.90426,75
3.92236,1800
4.68303,248
4.63904,1425
5.52367,1919
4.9753,468
6.08706,1223
4.58038,1
4.34035,214
